open_time,log_return,abs_log_return
2022-05-11 12:00:00+00:00,-0.07245235706322894,0.07245235706322894
2023-04-26 19:00:00+00:00,-0.06448273089925927,0.06448273089925927
2022-05-11 13:00:00+00:00,0.06285491313605185,0.06285491313605185
2022-11-10 13:00:00+00:00,0.057056008215779386,0.057056008215779386
2023-03-03 01:00:00+00:00,-0.05567481641751115,0.05567481641751115
2022-06-30 23:00:00+00:00,0.053965599449441015,0.053965599449441015
2023-08-29 14:00:00+00:00,0.05380160380114596,0.05380160380114596
2023-08-17 21:00:00+00:00,-0.052879284724870246,0.052879284724870246
2023-10-23 22:00:00+00:00,0.05192932350400348,0.05192932350400348
2022-11-08 17:00:00+00:00,-0.05180172985546072,0.05180172985546072
2022-09-13 12:00:00+00:00,-0.05121305122408337,0.05121305122408337
2025-03-07 00:00:00+00:00,-0.050194534107680155,0.050194534107680155
2023-03-22 19:00:00+00:00,-0.04976443302575895,0.04976443302575895
2022-06-18 06:00:00+00:00,-0.04941839557231198,0.04941839557231198
2025-04-09 17:00:00+00:00,0.04904683269803911,0.04904683269803911
2025-01-20 06:00:00+00:00,0.04902361607983963,0.04902361607983963
2022-11-14 06:00:00+00:00,0.047529469436376814,0.047529469436376814
2022-05-12 14:00:00+00:00,0.04751361962101086,0.04751361962101086
2025-03-03 14:00:00+00:00,-0.04712471470399926,0.04712471470399926
2023-01-14 00:00:00+00:00,0.0471238789487618,0.0471238789487618
